X,Y,ET_ID,FID_JustSo,ET_X,ET_Y,ET_ORDER,ET_IDP
306263.873200000263751,5447884.461899999529,93,1,306263.87319999997,5447884.46190000046,1.00000000000,93
306263.873200000263751,5447884.461899999529,94,1,306263.87319999997,5447884.46190000046,0.00000000000,94
306260.349899999797344,5447893.820699999109,94,1,306260.34989999997,5447893.82070000004,1.00000000000,94
306260.349899999797344,5447893.820699999109,95,1,306260.34989999997,5447893.82070000004,0.00000000000,95
306260.235600000247359,5447894.124199999496,95,1,306260.23560000001,5447894.12420000043,1.00000000000,95
306258.504800000227988,5447903.643799999729,95,1,306258.50480000000,5447903.64379999973,2.00000000000,95
306258.504800000227988,5447903.643799999729,96,1,306258.50480000000,5447903.64379999973,0.00000000000,96
306256.715900000184774,5447913.482499999925,96,1,306256.71590000001,5447913.48249999993,1.00000000000,96
306256.715900000184774,5447913.482499999925,97,1,306256.71590000001,5447913.48249999993,0.00000000000,97
306254.927099999972,5447923.3212,97,1,306254.92709999997,5447923.32120000012,1.00000000000,97
306254.927099999972,5447923.3212,98,1,306254.92709999997,5447923.32120000012,0.00000000000,98
306253.138199999928,5447933.1599,98,1,306253.13819999999,5447933.15990000032,1.00000000000,98
306253.138199999928,5447933.1599,99,1,306253.13819999999,5447933.15990000032,0.00000000000,99
306251.776499999687076,5447940.649299999699,99,1,306251.77649999998,5447940.64929999970,1.00000000000,99
306251.566200000233948,5447943.027899999171,99,1,306251.56620000000,5447943.02790000010,2.00000000000,99
306251.566200000233948,5447943.027899999171,100,1,306251.56620000000,5447943.02790000010,0.00000000000,100
306250.6853,5447952.989,100,1,306250.68530000001,5447952.98900000006,1.00000000000,100
306250.6853,5447952.989,101,1,306250.68530000001,5447952.98900000006,0.00000000000,101
306249.80449999962,5447962.950099999085,101,1,306249.80450000003,5447962.95010000002,1.00000000000,101
306249.80449999962,5447962.950099999085,102,1,306249.80450000003,5447962.95010000002,0.00000000000,102
306248.923600000329316,5447972.911199999973,102,1,306248.92359999998,5447972.91119999997,1.00000000000,102
306248.923600000329316,5447972.911199999973,103,1,306248.92359999998,5447972.91119999997,0.00000000000,103
306248.480899999849498,5447977.9177,103,1,306248.48090000002,5447977.91770000011,1.00000000000,103
306248.817099999636412,5447982.8803,103,1,306248.81709999999,5447982.88030000031,2.00000000000,103
306248.817099999636412,5447982.8803,104,1,306248.81709999999,5447982.88030000031,0.00000000000,104
306249.493099999614,5447992.857499999925,104,1,306249.49310000002,5447992.85749999993,1.00000000000,104
306249.493099999614,5447992.857499999925,105,1,306249.49310000002,5447992.85749999993,0.00000000000,105
306250.168999999761581,5448002.834599999711,105,1,306250.16899999999,5448002.83459999971,1.00000000000,105
306250.168999999761581,5448002.834599999711,106,1,306250.16899999999,5448002.83459999971,0.00000000000,106
306250.84499999974,5448012.811699999496,106,1,306250.84499999997,5448012.81170000043,1.00000000000,106
306250.84499999974,5448012.811699999496,107,1,306250.84499999997,5448012.81170000043,0.00000000000,107
306251.520999999716878,5448022.788799999282,107,1,306251.52100000001,5448022.78880000021,1.00000000000,107
306251.520999999716878,5448022.788799999282,108,1,306251.52100000001,5448022.78880000021,0.00000000000,108
306252.196899999864399,5448032.766,108,1,306252.19689999998,5448032.76599999983,1.00000000000,108
306252.196899999864399,5448032.766,109,1,306252.19689999998,5448032.76599999983,0.00000000000,109
306252.872899999842048,5448042.7431,109,1,306252.87290000002,5448042.74309999961,1.00000000000,109
306252.872899999842048,5448042.7431,110,1,306252.87290000002,5448042.74309999961,0.00000000000,110
306253.5488,5448052.7202,110,1,306253.54879999999,5448052.72020000033,1.00000000000,110
306253.5488,5448052.7202,111,1,306253.54879999999,5448052.72020000033,0.00000000000,111
306253.772599999792874,5448056.0229,111,1,306253.77260000003,5448056.02290000021,1.00000000000,111
306254.220300000160933,5448062.697699999437,111,1,306254.22029999999,5448062.69770000037,2.00000000000,111
306254.220300000160933,5448062.697699999437,112,1,306254.22029999999,5448062.69770000037,0.00000000000,112
306254.889499999582767,5448072.6752,112,1,306254.88949999999,5448072.67520000041,1.00000000000,112
306254.889499999582767,5448072.6752,113,1,306254.88949999999,5448072.67520000041,0.00000000000,113
306255.558699999936,5448082.652799999341,113,1,306255.55869999999,5448082.65280000027,1.00000000000,113
306255.558699999936,5448082.652799999341,114,1,306255.55869999999,5448082.65280000027,0.00000000000,114
306256.100899999961,5448090.7363,114,1,306256.10090000002,5448090.73629999999,1.00000000000,114
306256.588299999945,5448092.571,114,1,306256.58830000000,5448092.57100000046,2.00000000000,114
306256.588299999945,5448092.571,115,1,306256.58830000000,5448092.57100000046,0.00000000000,115
306259.155500000342727,5448102.235899999738,115,1,306259.15549999999,5448102.23589999974,1.00000000000,115
306259.155500000342727,5448102.235899999738,116,1,306259.15549999999,5448102.23589999974,0.00000000000,116
306259.699300000444055,5448104.28299999982,116,1,306259.69929999998,5448104.28299999982,1.00000000000,116
306264.360399999655783,5448110.639,116,1,306264.36040000001,5448110.63900000043,2.00000000000,116
306264.360399999655783,5448110.639,117,1,306264.36040000001,5448110.63900000043,0.00000000000,117
306270.274000000208616,5448118.70299999975,117,1,306270.27399999998,5448118.70299999975,1.00000000000,117
306270.274000000208616,5448118.70299999975,118,1,306270.27399999998,5448118.70299999975,0.00000000000,118
306271.341,5448120.15799999982,118,1,306271.34100000001,5448120.15799999982,1.00000000000,118
306278.551799999549985,5448124.0535,118,1,306278.55180000002,5448124.05350000039,2.00000000000,118
306278.551799999549985,5448124.0535,119,1,306278.55180000002,5448124.05350000039,0.00000000000,119
306287.349999999627471,5448128.8065,119,1,306287.34999999998,5448128.80649999995,1.00000000000,119
306287.349999999627471,5448128.8065,120,1,306287.34999999998,5448128.80649999995,0.00000000000,120
306289.756,5448130.1063,120,1,306289.75599999999,5448130.10630000010,1.00000000000,120
306296.486600000411272,5448132.842,120,1,306296.48660000000,5448132.84200000018,2.00000000000,120
306296.486600000411272,5448132.842,121,1,306296.48660000000,5448132.84200000018,0.00000000000,121
306305.750599999912,5448136.6074,121,1,306305.75060000003,5448136.60740000010,1.00000000000,121
306305.750599999912,5448136.6074,122,1,306305.75060000003,5448136.60740000010,0.00000000000,122
306315.014600000344217,5448140.3728,122,1,306315.01459999999,5448140.37280000001,1.00000000000,122
306315.014600000344217,5448140.3728,123,1,306315.01459999999,5448140.37280000001,0.00000000000,123
306322.564399999566376,5448143.4414,123,1,306322.56439999997,5448143.44139999989,1.00000000000,123
306324.276600000448525,5448144.1433,123,1,306324.27659999998,5448144.14329999965,2.00000000000,123
306324.276600000448525,5448144.1433,124,1,306324.27659999998,5448144.14329999965,0.00000000000,124
306333.529299999587238,5448147.9363,124,1,306333.52929999999,5448147.93630000018,1.00000000000,124
306333.529299999587238,5448147.9363,125,1,306333.52929999999,5448147.93630000018,0.00000000000,125
306342.781999999657273,5448151.729299999774,125,1,306342.78200000001,5448151.72929999977,1.00000000000,125
306342.781999999657273,5448151.729299999774,126,1,306342.78200000001,5448151.72929999977,0.00000000000,126
306352.034699999727309,5448155.522399999201,126,1,306352.03470000002,5448155.52240000013,1.00000000000,126
306352.034699999727309,5448155.522399999201,127,1,306352.03470000002,5448155.52240000013,0.00000000000,127
306356.642799999564886,5448157.411399999633,127,1,306356.64279999997,5448157.41139999963,1.00000000000,127
306361.410699999891222,5448158.981499999762,127,1,306361.41070000001,5448158.98149999976,2.00000000000,127
306361.410699999891222,5448158.981499999762,128,1,306361.41070000001,5448158.98149999976,0.00000000000,128
306370.908900000154972,5448162.1093,128,1,306370.90889999998,5448162.10929999966,1.00000000000,128
306370.908900000154972,5448162.1093,129,1,306370.90889999998,5448162.10929999966,0.00000000000,129
306380.407200000248849,5448165.237099999562,129,1,306380.40720000002,5448165.23709999956,1.00000000000,129
306380.407200000248849,5448165.237099999562,130,1,306380.40720000002,5448165.23709999956,0.00000000000,130
306389.905399999581277,5448168.365,130,1,306389.90539999999,5448168.36500000022,1.00000000000,130
